time_ms,funding_rate
1689188400191,2.66105e-05
1689192000005,5.21527e-05
1689195600361,3.276e-05
1689199200094,2.66376e-05
1689202800044,2.40854e-05
1689206400346,2.6972e-05
1689210000143,2.73785e-05
1689213600202,3.99173e-05
1689217200090,3.46817e-05
1689220800139,3.08024e-05
1689224400140,3.73697e-05
1689228000016,3.69968e-05
1689231600161,3.74325e-05
1689235200141,2.25968e-05
1689238800177,3.29473e-05
1689242400159,4.31831e-05
1689246000110,2.92387e-05
1689249600139,2.26363e-05
1689253200224,3.96652e-05
1689256800000,3.58334e-05
1689260400181,3.16844e-05
1689264000010,7.15954e-05
1689267600001,7.15545e-05
1689271200063,4.99483e-05
1689274800168,8.91191e-05
1689278400055,0.000105026
1689282000092,8.90582e-05
1689285600368,7.70783e-05
1689289200057,2.61665e-05
1689292800186,2.31104e-05
1689296400015,5.09104e-05
1689300000242,5.49825e-05
1689303600217,3.47687e-05
1689307200181,6.05933e-05
1689310800140,3.39874e-05
1689314400063,4.26026e-05
1689318000080,5.13359e-05
1689321600328,6.92313e-05
1689325200097,5.8328e-05
1689328800198,7.17988e-05
1689332400012,7.18703e-05
1689336000140,6.68003e-05
1689339600034,6.17011e-05
1689343200336,8.13557e-05
1689346800018,4.05641e-05
1689350400034,4.58901e-05
1689354000232,5.39417e-05
1689357600150,5.00397e-05
1689361200108,5.14664e-05
1689364800050,3.6972e-05
1689368400299,2.26198e-05
1689372000030,1.90167e-05
1689375600127,2.0263e-05
1689379200387,2.18726e-05
1689382800001,3.71628e-05
1689386400064,3.52297e-05
1689390000194,1.25e-05
1689393600038,1.25e-05
1689397200018,1.25e-05
1689400800178,1.25e-05
1689404400358,1.25e-05
1689408000176,1.25e-05
1689411600004,1.25e-05
1689415200021,1.25e-05
1689418800450,1.25e-05
1689422400094,1.25e-05
1689426000044,1.25e-05
1689429600051,1.25e-05
1689433200006,1.25e-05
1689436800542,1.25e-05
1689440400105,1.25e-05
1689444000016,1.25e-05
1689447600166,1.25e-05
1689451200180,1.25e-05
1689454800273,1.25e-05
1689458400345,1.25e-05
1689462000128,1.25e-05
1689465600024,1.25e-05
1689469200058,1.62259e-05
1689472800149,1.25e-05
1689476400186,1.25e-05
1689480000109,1.25e-05
1689483600098,1.25e-05
1689487200030,1.25e-05
1689490800164,1.25e-05
1689494400227,1.25e-05
1689498000180,1.25e-05
1689501600047,1.25e-05
1689505200034,1.25e-05
1689508800153,1.25e-05
1689512400055,1.25e-05
1689516000079,1.25e-05
1689519600066,1.25e-05
1689523200182,1.25e-05
1689526800144,1.25e-05
1689530400081,1.25e-05
1689534000085,1.25e-05
1689537600140,1.25e-05
1689541200043,1.25e-05
1689544800096,1.25e-05
1689548400076,1.25e-05
1689552000149,1.25e-05
1689555600091,1.25e-05
1689559200004,1.25e-05
1689562800204,1.25e-05
1689566400025,1.25e-05
1689570000165,1.25e-05
1689573600102,1.25e-05
1689577200145,1.25e-05
1689580800134,1.25e-05
1689584400003,1.25e-05
1689588000045,1.25e-05
1689591600009,1.25e-05
1689595200129,1.25e-05
1689598800118,1.25e-05
1689602400198,1.25e-05
1689606000065,1.25e-05
1689609600011,1.25e-05
1689613200072,1.25e-05
1689616800170,1.25e-05
1689620401356,1.25e-05
1689624000302,1.25e-05
1689627600065,1.25e-05
1689631200197,1.25e-05
1689634800021,1.25e-05
1689638400105,1.25e-05
1689642000049,1.25e-05
1689645600022,1.25e-05
1689649200173,1.25e-05
1689652800041,1.25e-05
1689656400192,1.25e-05
1689660000063,1.25e-05
1689663600183,1.25e-05
1689667200171,1.25e-05
1689670800008,1.25e-05
1689674400206,1.25e-05
1689678000050,1.25e-05
1689681600176,1.25e-05
1689685200009,1.25e-05
1689688800122,1.25e-05
1689692400001,1.25e-05
1689696000139,1.25e-05
1689699600082,1.25e-05
1689703200178,1.25e-05
1689706800062,1.25e-05
1689710400101,1.25e-05
1689714000198,1.25e-05
1689717600104,1.25e-05
1689721200036,1.25e-05
1689724800135,1.25e-05
1689728400150,1.25e-05
1689732000140,1.21829e-05
1689735600003,1.25e-05
1689739200123,2.5079e-06
1689742800013,-5.8051e-06
1689746400129,3.5952e-06
1689750000202,7.719e-07
1689753600008,2.3229e-06
1689757200176,7.8945e-06
1689760800087,7.2833e-06
